,Score,Tweets
0,0.0,"IBD Big Cap 20 Ranked May 8, 2019 1. $VEEV $INCY $PANW $AMZN $NOW $CDNS $PYPL $RCL $XLNX $TWTR $SPLK $GPN $CMCSA $V $ALXN $IAC $MNST $VMC $FB 20. $MTCH Uptrend Under Pressure"
1,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/EH9s30oFNaq It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
2,0.0,http://bit.ly/2Uh4tyu Tim Sykes Alerts REVEALED! $DVN $BA $PYPL $PXD
3,0.375,$PYPL $FB: Facebook’s crypto project echoes board member Peter Thiel’s original vision for PayPal: https://www.StockNewsWires.com/pypl-fb-facebooks-crypto-project-echoes-board-member-peter-thiels-original-vision-for-paypal/ …
4,0.0,I do not like the current situations BUT this Pepperstone FX analyst (where Pepperstone is NOT authorized to serve US customers as a broker) should NOT try to #influence #US #politics! #trading $iwm $compx $ma $v $pypl $axp $fb $ba $googl $dis $bidu #crm $cvx $lyft $xom $usdcadpic.twitter.com/WIzgY1dGas
5,0.7,$SQ $PYPL: Square’s Bitcoin Platform Remains Surprisingly Profitable: https://www.StockNewsWires.com/sq-pypl-squares-bitcoin-platform-remains-surprisingly-profitable/ …
6,-0.05833333333333333,"IBD Big Cap 20 Ranked May 7, 2019 1. $VEEV $INCY $PANW $AMZN $CDNS $NOW $PYPL $MCHP $RCL $TWTR $SPLK $MA $INTU $FLT $CMCSA $V $ALXN $IAC $MNST 20. $FB Uptrend Under Pressure Indexes weaken sharply as some leading stocks also stumble @IBDinvestors"
7,0.10833333333333332,Last Strong #NASDAQ100 #stocks sector #financial Technical Analysis today: $PYPL https://www.finscreener.com/technicals/last-strong-technical-analysis-summary …pic.twitter.com/jomzCDuCJh
8,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/2zLu30oBJ69 It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
9,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/38bg30oEe5G It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
